'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Saapumispaiva';'Muokkauspaiva';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0195';'Anneli';'Jäätteenmäki';'Euroopan parlamentin jäsen, varatuomari';'Koko maa';'KESK';'25.04.2014';'25.04.2014';'Suomen Silta Eurooppaan';'40000';'15000';'';'';'';'';'';'15000';'';'';'';'10000';'40000';'2000';'';'1500';' ';'';'1500';' ';'';'5000';' ';'Keskusta luvannut 5000 €/ehdokas';'30000';' ';'';'';' ';'';'';''
'0097';'Pirkko';'Ruohonen-Lerner';'kansanedustaja, varanotaari';'Koko maa';'PS';'29.04.2014';'29.04.2014';'';'20000';'15000';'';'';'500';'';'';'2000';'';'2000';'';'500';'20000';'9500';'';'';' ';'';'';' ';'';'10000';' ';'';'500';'X';'';'';' ';'';'';''
'0230';'Henna';'Virkkunen';'liikenne- ja kuntaministeri, filosofian lisensiaatti';'Koko maa';'KOK';'14.05.2014';'';'';'80000';'20000';'';'20000';'';'';'20000';'10000';'';'';'';'10000';'80000';'40000';'';'';' ';'';'40000';'X';'';'';'X';'';'';' ';'';'';' ';'';'';''
'0207';'Olli';'Rehn';'komission varapuheenjohtaja, filosofian tohtori';'Koko maa';'KESK';'14.05.2014';'';'Suomen Parhaaksi ry';'92000';'53500';'';'';'5000';'';'';'8000';'7500';'1500';'1000';'15500';'92000';'10000';'';'10000';' ';'';'72000';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0239';'Miapetra';'Kumpula-Natri';'kansanedustaja, insinööri';'Koko maa';'SDP';'19.05.2014';'';'Euroopassa Suomen tähden ry';'72000';'15000';'';'10000';'1500';'';'25000';'10000';'4500';'2000';'1000';'3000';'72000';'5000';'';'6000';'X';'';'10000';'X';'';'4000';' ';'';'3000';'X';'';'44000';' ';'Mm Finanssialan keskusliitto 800€, Metsäteollisuus 800€ jne seminaarilippuja 800€ hintaan,';'';''
'0225';'Petri';'Sarvamaa';'Euroopan parlamentin jäsen';'Koko maa';'KOK';'21.05.2014';'';'';'25000';'2000';'0';'0';'3000';'1000';'4000';'2000';'12000';'1000';'0';'0';'23000';'3000';'';'7700';'X';'';'6500';'X';'';'';'X';'';'';'X';'';'5800';'X';'';'';''
'0210';'Paavo';'Väyrynen';'valtiotieteen tohtori, yrittäjä';'Koko maa';'KESK';'23.05.2014';'';'Suomen linja ry';'83300';'52000';'';'14500';'3000';'';'1300';'2500';'';'10000';'';'';'83300';'28300';'';'50000';'X';'Yksityishenkilöiiltä ei ole pyydetty eikä saatu vastikkeetonta tukea, Kaikki vastikkeellinen tuki on saatu yksityishenkilöiltä kirjojen ja mukien myynnistä, Ilmoitettu summa on myynnin nettotuotto,';'';'X';'';'5000';' ';'';'';'X';'';'';'X';'';'';''
'0169';'Oras';'Tynkkynen';'kansanedustaja, yhteiskuntatieteiden maisteri';'Koko maa';'VIHR';'29.04.2014';'24.05.2014';'';'46700,00';'16531,81';'';'';'4364,67';'';'11421,83';'3673,48';'2844,56';'1209,59';'938,00';'5716,06';'46700,00';'19900,00';'';'21000,00';' ';'Vihreiden lahjoitustyökalun kautta tulleet lahjoitukset on listattu osoitteessa https://lahjoita,vihreat,fi/tilastot/kohde/220/558, Työkalun tilasto sisältää myös kaikkien vähintään 1000 euron lahjoitukset lukuun ottamatta Riitta Lättiä (lahjoittanut 500 euroa puolueen lahjoitustyökalun kautta ja 1 000 euroa suoraan tilille), Työkalun kautta kampanjaa 1000 eurolla tukenut Olli-Poika Parviainen on lisäksi luvannut 500 euron lisätuen suoraan ehdokkaalle,';'';'X';'Ehdokas ei ota vastaan lainkaan lahjoituksia yrityksiltä tai etujärjestöiltä,';'3500';' ';'';'2300';'X';'';'';'X';'';'';'Menojen "muut kulut" -osio sisältää kampanjapäällikön palkkakuluja 3400,00 €, valokuvauksen kuluja 767,63<br />€ sekä vaalipäällikön matkakuluja, tukiryhmän kokoustarjoiluja ym. 123,98 €.<br />'
'0159';'Heidi';'Hautala';'maatalous- ja metsätieteiden maisteri, entinen Euroopan parlamentin jäsen';'Koko maa';'VIHR';'05.05.2014';'';'';'10000';'4500';'';'';'';'';'';'3000';'1000';'1000';'500';'';'10000';'2000';'';'4500';' ';'';'';' ';'';'3500';' ';'';'';' ';'';'';' ';'';'';''
'0137';'Merja';'Kyllönen';'kansanedustaja, bioanalyytikko';'Koko maa';'VAS';'05.05.2014';'';'Merjan tukiryhmä';'7582,87';'2740';'300';'';'';'';'';'2898';'';'120';'';'1524,87';'7582,87';'3082,87';'';'1500';'X';'';'';'X';'';'1000';'X';'';'';'X';'';'2000';'X';'';'';''
'0232';'Timo';'Harakka';'toimittaja, kirjailija';'Koko maa';'SDP';'06.05.2014';'';'Uuden kasvun Eurooppa';'53100';'20000';'0';'0';'0';'2400';'10945';'9778';'2500';'2100';'300';'2077';'53100';'3000';'0';'1600';'X';'';'495';'X';'';'4000';' ';'';'20100';' ';'';'23905';' ';'';'0';''
'0134';'Li';'Andersson';'valt.kand, Vasemmistonuorten pj, pol.kand., ordförande för Vänsterunga';'Koko maa';'VAS';'11.05.2014';'';'';'30584,55';'4000';'';'';'3200';'';'13339,18';'6045,37';'';'2500';'';'1500';'30584,55';'2000';'';'12584,55';'X';'';'';' ';'';'1000';'X';'';'8000';' ';'';'7000';' ';'';'';''
'0208';'Hannu';'Takkula';'Euroopan parlamentin jäsen, kasvatustieteen maisteri';'Koko maa';'KESK';'13.05.2014';'';'Lapin tulevaisuuden tekijät LTT ry';'110000';'30000';'3000';'30000';'2000';'';'30000';'5000';'3000';'2000';'2000';'3000';'110000';'30000';'60000';'5000';'X';'';'10000';'X';'';'5000';' ';'';'';' ';'';'';' ';'';'';'' 