'Tukija';'Tukijan y-tunnus/yhdistysrekisterinumero jos on';'Tukijan etunimet';'Tukijan sukunimi';'Tukijan kotikunta jos on';'Tukilahteen lomakenumerot';'Lainan nimi';'Lainan takaisinmaksuaika/laina-aika';'Tuen maara';'Tuen saajan etunimet';'Tuen saajan Sukunimi';'Vaalipiiri / Kunta';'Tuen saajan puolue'
'Suomen Keskusta r.p.';'0201471-3';'';'';'';'2.5';'';'';'5000';'Anneli';'Jäätteenmäki';'Koko maa';'KESK'	 
'Keskustan Etelä-Pohjanmaan piiri ry';'93.190';'';'';'';'2.6';'';'';'32640,85';'Anneli';'Jäätteenmäki';'Koko maa';'KESK' 
'PERUSSUOMALAISET - SANNFINLÄNDARNA R.P.';'1044184-6';'';'';'';'2.5';'';'';'10000';'Pirkko';'Ruohonen-Lerner';'Koko maa';'PS'	 
'KESKI-SUOMEN KOKOOMUS R.Y.';'0770506-2';'';'';'';'2.6';'';'';'5891,55';'Henna';'Virkkunen';'Koko maa';'KOK' 
'Saga Furs Oyj';'0115411-6';'';'';'';'2.4';'';'';'2900';'Olli';'Rehn';'Koko maa';'KESK' 
'Suomen Keskusta r.p.';'0201471-3';'';'';'';'2.5';'';'';'5000';'Olli';'Rehn';'Koko maa';'KESK'	 
'AKAVA RY';'0200918-0';'';'';'';'2.7';'';'';'1900';'Olli';'Rehn';'Koko maa';'KESK' 
'P4 Consulting Oy';'2264227-4';'';'';'';'2.4';'';'';'1660,00';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokra...';'0117005-2';'';'';'';'2.5';'';'';'4000,00';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP'	 
'Energiateollisuus ry, Finsk Energiindustri rf';'190.488';'';'';'';'2.7';'';'';'1600,00';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'Rakennusteollisuus RT ry, Byggnadsindustrin RT rf';'44.978';'';'';'';'2.7';'';'';'1600,00';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'TEAM ';'';'';'';'';'2.7';'';'';'1500,00';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'Palkansaajien opintoyhdistys';'';'';'';'';'2.7';'';'';'3000,00';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'Palvelualojen ammattiliitto PAM ry, Servicefacket PAM rf';'146.800';'';'';'';'2.7';'';'';'8000,00';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'Metalliliiton sos.dem.opintoyhdistys';'';'';'';'';'2.7';'';'';'10000,00';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'Suomen Turkiseläinten Kasvattajain Liitto ry';'0202314-2';'';'';'';'2.7';'';'';'1500,00';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'Ammattiliitto Pro ry,  Fackförbundet Pro rf';'90.631';'';'';'';'2.7';'';'';'90,631';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'Sähköliitto';'';'';'';'';'2.7';'';'';'2000,00';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'Finanssialan Keskusliitto - Finansbranschens Centralförbund ...';'2068335-5';'';'';'';'2.7';'';'';'800,00';'Miapetra';'Kumpula-Natri';'Koko maa';'SDP' 
'';'';'Titta-Maria';'Teittinen';'Helsinki';'2.3';'';'';'2000,00';'Petri';'Sarvamaa';'Koko maa';'KOK' 
'';'';'Hannu';'Lehessaari';'Espoo';'2.3';'';'';'2000,00';'Petri';'Sarvamaa';'Koko maa';'KOK' 
'';'';'Kari';'Österlund';'Helsinki';'2.3';'';'';'2500,00';'Petri';'Sarvamaa';'Koko maa';'KOK' 
'Suomen Keskusta rp';'';'';'';'';'2.5';'';'';'5000';'Paavo';'Väyrynen';'Koko maa';'KESK'	 
'';'';'Juhana';'Suoniemi';'Tampere';'2.3';'';'';'1000';'Oras';'Tynkkynen';'Koko maa';'VIHR' 
'';'';'Olli-Poika';'Parviainen';'Tampere';'2.3';'';'';'1500';'Oras';'Tynkkynen';'Koko maa';'VIHR' 
'';'';'Maija';'Kajan';'Tampere';'2.3';'';'';'1000';'Oras';'Tynkkynen';'Koko maa';'VIHR' 
'';'';'Satu';'Hassi';'Tampere';'2.3';'';'';'1000';'Oras';'Tynkkynen';'Koko maa';'VIHR' 
'';'';'Sampsa';'Hario';'Helsinki';'2.3';'';'';'1000';'Oras';'Tynkkynen';'Koko maa';'VIHR' 
'';'';'Riitta';'Lätti';'Jyväskylä';'2.3';'';'';'1500';'Oras';'Tynkkynen';'Koko maa';'VIHR' 
'Vihreä liitto r.p., ruotsiksi Gröna förbundet r.p., saameksi Ruona lihttu r.b.';'148.163';'';'';'';'2.5';'';'';'3500';'Oras';'Tynkkynen';'Koko maa';'VIHR'	 
'Pirkanmaan Vihreä Liitto ry';'150.699';'';'';'';'2.6';'';'';'1237,50';'Oras';'Tynkkynen';'Koko maa';'VIHR' 
'Perussuomalaiset r.p., Sannfinländarna r.p.';'163.694';'';'';'';'2.5';'';'';'4055,61';'Jussi';'Halla-aho';'Koko maa';'PS'	 
'PERUSSUOMALAISET - SANNFINLÄNDARNA R.P.';'1044184-6';'';'';'';'2.5';'';'';'10000';'Sampo';'Terho';'Koko maa';'PS'	 
'Svenska folkpartiet i Finland r.p., Suomen ruotsalainen kansanpuolue r.p.';'32.793';'';'';'';'2.5';'';'';'10000';'Christina';'Gestrin';'Koko maa';'RKP'	 
'Esbo svenska kulturförening r.f.';'139.121';'';'';'';'2.7';'';'';'10000';'Christina';'Gestrin';'Koko maa';'RKP' 
'Svenska Bildningsförbundet r.f.';'123.748';'';'';'';'2.7';'';'';'9840';'Christina';'Gestrin';'Koko maa';'RKP' 
'Stiftelsen för det tvåspråkiga Finland';'17494393';'';'';'';'2.7';'';'';'10000';'Christina';'Gestrin';'Koko maa';'RKP' 
'Föreningen Konstsamfundet r.f.';'33.291';'';'';'';'2.7';'';'';'2540';'Christina';'Gestrin';'Koko maa';'RKP' 
'Stiftelsen för utbildning och kultur på svenska i Finland';'23793568';'';'';'';'2.7';'';'';'1590';'Christina';'Gestrin';'Koko maa';'RKP' 
'Svenska Bildningsförbundet r.f.';'123.748';'';'';'';'2.4';'';'';'8000';'Nils';'Torvalds';'Koko maa';'RKP' 
'Stiftelsen för det tvåspråkiga Finland';'1749439-3';'';'';'';'2.4';'';'';'10000';'Nils';'Torvalds';'Koko maa';'RKP' 
'Svenska Folkpartiet i Finland r.p., Ruotsalainen kansanpuolu...';'0215325-4';'';'';'';'2.5';'';'';'10000';'Nils';'Torvalds';'Koko maa';'RKP'	 
'';'';'';'';'';'2.2';'Vaalilaina / muu luotto';' 1715,82 e/kk / 5 vuotta';'60000';'Sirpa';'Pietikäinen';'Koko maa';'KOK' 
'Lammin Säästöpankki';'0197794-8';'';'';'';'2.4';'';'';'4032';'Sirpa';'Pietikäinen';'Koko maa';'KOK' 
'Wipunen varainhallinta oy';'1948054-2';'';'';'';'2.4';'';'';'2400';'Sirpa';'Pietikäinen';'Koko maa';'KOK' 
'HÄMEEN KOKOOMUS RY';'0281398-8';'';'';'';'2.6';'';'';'5000';'Sirpa';'Pietikäinen';'Koko maa';'KOK' 
'Ammattiliitto Pro ry, Fackförbundet Pro rf';'0215350-2';'';'';'';'2.7';'';'';'10000';'Sirpa';'Pietikäinen';'Koko maa';'KOK' 
'Raideammattilaisten yhteisjärjestö JHL ry';'0213635-8';'';'';'';'2.7';'';'';'1800';'Sirpa';'Pietikäinen';'Koko maa';'KOK' 
'';'';'Björn';'Wahlroos';'';'2.3';'';'';'5000';'Alexander';'Stubb';'Koko maa';'KOK' 
'';'';'Chaim';'Zabludovicz';'';'2.3';'';'';'8000';'Alexander';'Stubb';'Koko maa';'KOK' 
'';'';'Kari';'Stadigh';'';'2.3';'';'';'2000';'Alexander';'Stubb';'Koko maa';'KOK' 
'';'';'Mikael';'Lilius';'';'2.3';'';'';'2500';'Alexander';'Stubb';'Koko maa';'KOK' 
'';'';'Mikko';'Laakkonen';'';'2.3';'';'';'2800';'Alexander';'Stubb';'Koko maa';'KOK' 
'';'';'John';'Lindfors';'';'2.3';'';'';'5600';'Alexander';'Stubb';'Koko maa';'KOK' 
'';'';'Vilhelm';'Sundström';'';'2.3';'';'';'2800';'Alexander';'Stubb';'Koko maa';'KOK' 
'Commit; Oy';'0782881-2';'';'';'';'2.4';'';'';'2800,00';'Alexander';'Stubb';'Koko maa';'KOK' 
'Havator Group Oy';'2083609-1';'';'';'';'2.4';'';'';'2800,00';'Alexander';'Stubb';'Koko maa';'KOK' 
'Nokian Renkaat Oyj';'0680006-8';'';'';'';'2.4';'';'';'5000,00';'Alexander';'Stubb';'Koko maa';'KOK' 
'Tamro Oyj';'0533965-2';'';'';'';'2.4';'';'';'2500,00';'Alexander';'Stubb';'Koko maa';'KOK' 
'Suomen sosialidemokraattinen Puolue rp';'';'';'';'';'2.5';'';'';'4000,00';'Liisa';'Jaakonsaari';'Koko maa';'SDP'	 
'Kuusamon sosialidemokraattinen työväenyhdistys ry';'';'';'';'';'2.6';'';'';'10000,00';'Liisa';'Jaakonsaari';'Koko maa';'SDP' 
'Oulun sosialidemokraattinen työväenyhdistys ry';'';'';'';'';'2.6';'';'';'5000,00';'Liisa';'Jaakonsaari';'Koko maa';'SDP' 
'PAM ';'';'';'';'';'2.7';'';'';'3000,00';'Liisa';'Jaakonsaari';'Koko maa';'SDP' 
'TEAM';'';'';'';'';'2.7';'';'';'1500,00';'Liisa';'Jaakonsaari';'Koko maa';'SDP' 
'';'';'Leena-Maija ';'Rantanen';'Helsinki';'2.3';'';'';'1500';'Heidi';'Hautala';'Koko maa';'VIHR' 
'Vihreä liitto rp.';'';'';'';'';'2.5';'';'';'3500';'Heidi';'Hautala';'Koko maa';'VIHR'	 
'Osuuskunta Tradeka-yhtymä';'0196885-7';'';'';'';'2.7';'';'';'2000';'Merja';'Kyllönen';'Koko maa';'VAS' 
'Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska Parti r.p.';'5.551';'';'';'';'2.5';'';'';'4000';'Timo';'Harakka';'Koko maa';'SDP'	 
'Jyväskylän Työväenyhdistys ry';'1.958';'';'';'';'2.6';'';'';'20495';'Timo';'Harakka';'Koko maa';'SDP' 
'ÄÄNEKOSKEN TYÖVÄENYHDISTYS, R.Y.';'401';'';'';'';'2.6';'';'';'1659';'Timo';'Harakka';'Koko maa';'SDP' 
'Valmetin metallityöväen ammattiosasto ry';'117.075';'';'';'';'2.7';'';'';'3000';'Timo';'Harakka';'Koko maa';'SDP' 
'JYVÄSKYLÄN AMMATILLINEN PAIKALLISJÄRJESTÖ R.Y.';'17.611	';'';'';'';'2.7';'';'';'9500';'Timo';'Harakka';'Koko maa';'SDP' 
'Ammattiliitto Pro ry,  Fackförbundet Pro rf';'90.631';'';'';'';'2.7';'';'';'2000';'Timo';'Harakka';'Koko maa';'SDP' 
'Auto- ja Kuljetusalan Työntekijäliitto AKT ry';'105.363';'';'';'';'2.7';'';'';'1500';'Timo';'Harakka';'Koko maa';'SDP' 
'VARSINAIS-SUOMEN VASEMMISTOLIITTO RY';'0816454-4';'';'';'';'2.6';'';'';'5000';'Li';'Andersson';'Koko maa';'VAS' 
'Vänsterförbundets svenska landsstyrelse';'';'';'';'';'2.6';'';'';'3000';'Li';'Andersson';'Koko maa';'VAS' 
'Vasemmistonuoret ry, Vänsterunga rf, Gurut Beale Nuorat rs';'43.559';'';'';'';'2.7';'';'';'3000';'Li';'Andersson';'Koko maa';'VAS' 
'Ossi Ahokkaan säätiö';'2142233-3';'';'';'';'2.7';'';'';'1500';'Li';'Andersson';'Koko maa';'VAS' 
'';'';'';'';'';'2.2';'Vaalilaina';'1250 €/kk/5 vuotta';'70000';'Hannu';'Takkula';'Koko maa';'KESK' 
'Suomen Keskusta r.p.';'0201471-3';'';'';'';'2.5';'';'';'5000';'Hannu';'Takkula';'Koko maa';'KESK' 